Nivå;Kode;Beskrivelse;Registrerbar;Farlig
1;01;"Avfall fra leting, utvinning ved gruvedrift og i steinbrudd og fysisk og kjemisk behandling av mineraler";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0101;"Avfall fra utvinning av mineraler";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010101;"Avfall fra utvinning av metallholdige mineraler";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010102;"Avfall fra utvinning av ikke-metallholdige mineraler";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0102;"UTGÅTT: AVFALL FRA OPPARBEIDING AV MINERALER";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010201;"Utgått: §4.2)Avfall fra opparbeiding av metalliske mineraler";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010202;"Utgått: §4.2)Avfall fra opparbeiding av ikke-metalliske mineraler";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0103;"Avfall fra fysisk og kjemisk bearbeiding av metallholdige mineraler";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010301;"Utgått: §4.2)Avgang, gråberg";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010302;"Utgått: §4.2)Støvavfall og pulver";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010303;"Utgått: §4.2)Rødslam fra aluminiumsproduksjon";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010304;"Syredannende avgangsmasse fra bearbeiding av sulfidholdig malm";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010305;"Annen avgangsmasse som inneholder farlige stoffer";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010306;"Annen avgangsmasse enn den nevnt i 01 03 04 og 01 03 05";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010307;"Annet avfall som inneholder farlige stoffer fra fysisk og kjemisk bearbeiding av metallholdige mineraler";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010308;"Annet støv- og pulveravfall enn det nevnt i 01 03 07";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010309;"Rødslam fra aluminiumsproduksjon som er ikke er nevnt i 01 03 07";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010310;"Rødslam fra aluminiumsproduksjon som inneholder farlige stoffer annet enn avfall nevnt i 010307";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010399;"Avfall som ikke er spesifisert andre steder";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0104;"Avfall fra fysisk og kjemisk bearbeiding av ikke-metallholdige mineraler";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010401;"Utgått: §4.2)Avfall av singel og knust stein";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010402;"Utgått: §4.2)Sand- og leireavfall";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010403;"Utgått: §4.2)Støvavfall og pulver";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010404;"Utgått: §4.2)Avfall fra behandling av kaliumkarbonat og mineralsalter";Nei;Nei
